unit_no,subject,url,abbr
1,operating system,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211080&authkey=ALkk04Zp3hZKi6w&em=2,os
2,operating system,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211081&authkey=ACdXx0BC1KJhdHo&em=2,os
3,operating system,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211077&authkey=AOLWxR63k_CZGSk&em=2,os
5,operating system,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%211078&authkey=AInuAr-tvu1d6U8&em=2,os
1,data structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21859&authkey=ACSx1qZiyjFnysE&em=2,dsa
2,data structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21858&authkey=AHWmbw7tptSuBME&em=2,dsa
3,data structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21864&authkey=AJNbXe8EQhqzXQM&em=2,dsa
4,data structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21860&authkey=AF8st8Xt3GANP2I&em=2,dsa
5,data structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21857&authkey=AKa2ny8Ki12OjNQ&em=2,dsa
1,object oriented programming,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21871&authkey=ANETwy0cLy9s2ks&em=2,oop
2,object oriented programming,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21870&authkey=AKFiSpwj0lve9pc&em=2,oop
3,object oriented programming,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21872&authkey=ABB_mZobkMaIZrE&em=2,oop
4,object oriented programming,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21869&authkey=AFS_FR1xliDhaHE&em=2,oop
5,object oriented programming,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21866&authkey=ADu91UM3Z_gfkSg&em=2,oop
1,discrete structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21856&authkey=AKkUw9qaYDnsZ4s&em=2,ds
2,discrete structure, https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21854&authkey=ALqqO5nw0GGRMjE&em=2,ds
3,discrete structure,https://onedrive.live.com/download?cid=9F0200C1153A2AA1&resid=9F0200C1153A2AA1%21855&authkey=AJxpQ5w_DKBX_TY&em=2,ds
